actor,movie_or_TV_name
Hanibal Yesbel,"Narcos: Mexico,Devotion,La Negociadora,Ay Güey, Chicas Bien,La Piloto,Blue Demon,Rosario Tijeras,Dressed for Mourning,Un mal date,Theft,A que no me dejas,Una cosa lleva a la otra,Un parecido asombroso,¿Qué te ha dado esa hembra?,Alma norteña,Ay que pena con el compadre,Crímenes que no se olvidan,Despedida de soltero,El placer de asesinar,Fresas vs. nacos,La vida te da sorpresas,No matarás,No voy, me llevan,Yo no sé lo que pasó,Historias Delirantes"
Irina Baños,"Una madre imperfecta,Narcos: Mexico,Chinga Tu Mate,La Piloto,Papá a Toda Madre,Coleccionista,Magos y Conjuros,Sr. Ávila,Love of My Loves"
Rodrigo Santacruz,"You can't (Kan't) always get what you want.,Negra constelación,Narcos: Mexico,S.O.Z: Soldados o Zombies,Barb and Star Go to Vista Del Mar,White Wetbacks,Los elegidos,MexcamGirlz,Loca Por El Trabajo,Run Coyote Run,B-167-980-098,Diablo Guardián,Falsos Falsificados,El Cesar,Loco Love,Una última y nos vamos,Camelia La Texana,Cesar Chavez,Alguien Más,Locked Up Abroad,Palabra de mujer,The Air I Breathe,La fea más bella,Código postal,La verdad oculta,Mujer, casos de la vida real,La madrastra,Apuesta por un amor"
José Manuel Lechuga,"Narcos: Mexico,Diseñando tu amor,Esta historia me suena,Si nos dejan,Te doy la vida,Cita a ciegas,Ringo, la pelea de su vida,Corazón 39,Renta congelada,Que Pena Tu Vida,La vecina,Veladoras,El Octavo Mandamiento,Zacatillo, un lugar en tu corazón,Los simuladores,H.,Dear Enemy"
Carlos Ramírez Ruelas,"Narcos: Mexico,Enemigo Íntimo,Sin miedo a la verdad,La Doña,Preso No. 1,Yankee,False Identity,Mariana,Hoy voy a cambiar,Paquita la del Barrio,La Piloto,Su nombre era Dolores, la Jenn que yo conocí,Perseguidos,Vuelve Temprano,La rosa de Guadalupe,El Señor de los Cielos,Lady of Steel,Los Miserables,Corazón en Condominio"
Hector Molina,"Baggage,Blatella,Pancho Villa. El Centauro del Norte,Narcos: Mexico,Un Dia Para Vivir,False Identity,Díaz,The Beauty and the Beasts,Enemigo Íntimo,José José: El príncipe de la canción,El Cesar,El Chema,Pistolas de Juguete"
Mauro González,"No Abras La Puerta,1938,Mal de Ojo,Al Tiro,Cuarentones,Narcos: Mexico,El juego de las llaves,S.O.Z: Soldados o Zombies,Asphalt Goddess,Celebridad,Ringo, la pelea de su vida,Tattoo of Revenge,La rosa de Guadalupe,Por el futuro,La querida del Centauro,Enamorándome de Ramón,Mutantes,La Doña,Along Came Love,Perseguidos,El Chema,Lady of Steel,Coleccionista,Anything But Plain,Lo imperdonable,Love from the Hood,A que no me dejas,Como dice el dicho,El Señor de los Cielos,Caminos de Guanajuato,Lo que callamos las mujeres,Eisenstein in Guanajuato"
Jorge Carlos Sánchez,"Narcos: Mexico,Dark Desire,The Search,La Doña,El Señor de los Cielos,Rosario Tijeras,Bronco, Un Éxito Indomable,Atrapada,Falco,Tres Milagros,October Glare,Un día cualquiera"
Mario Loría,"Narcos: Mexico,Esta historia me suena,Monarca,El Candidato,Dani Who?,Café de Exilio,Rosario Tijeras,Lady of Steel,Along Came Love,Maldita Tentación,Gato,Perseguidos,Un día cualquiera,Camelia La Texana,Relevo,Las Trampas del Deseo,The Return,La Ruta Blanca,Infames,El Equipo,Para volver a amar,El Octavo Mandamiento,Cada quien su santo,Secretos del alma,Capadocia,Alma legal,Cambio de vida,Mientras haya vida,Marina,Corazón Partido,Los Plateados,Zapata: Amor en rebeldía,El Alma Herida,Un nuevo amor"
Solkin Ruz,"Detrás del Muro,Narcos: Mexico,Si nos dejan,Un poquito tuyo,Por amar sin ley,La Piloto,La rosa de Guadalupe,Como dice el dicho,Enamorándome de Ramón,Como te ves, me vi,Por siempre Joan Sebastián,Yago,La vecina"
